stop_id,title,lat,long
tula3424,Graduate Hills at 3424 Tulane Dr,38.9849405,-76.9559259
tula3410,Graduate Hills at 3410 Tulane Dr,38.984739,-76.9572802
tula3403,Graduate Hills at 3404 Tulane Dr,38.9846822,-76.95824
camplot19,Campus Dr at UMUC Lot 19,38.9852911,-76.9544776
univbapt,University Methodist Church,38.9848573,-76.9524262
hillmunc,Van Munching Hall (Inbound),38.9830167,-76.9482112
lds,LDS Institute of Religion,38.9822297,-76.9471916
sccomm1_2,South Campus Commons 1 & 2,38.9823305,-76.9434585
4315rwlt,Graduate Gardens at 4315 Rowalt Dr,38.9788425,-76.9414545
4327rwlt,Graduate Gardens at 4327 Rowalt Dr,38.9782048,-76.9400307
balthart_in,Baltimore Ave and Hartwick Rd (Inbound),38.9794663,-76.93783
shoebuil,Shoemaker Building,38.9838654,-76.9421853
loty,Lot Y and Chapel Dr,38.9843599,-76.9417399
painstad_r,Glenn L. Martin Wind Tunnel,38.9899585,-76.9372506
avwill,A.V. Williams Building,38.9909815,-76.93726
techpain,Paint Branch Dr and Technology Dr,38.9925816,-76.93727
camb,Cambridge Hall (Outbound),38.9914576,-76.943027
cumber,Cumberland Hall,38.9923509,-76.944254
stamsu_m,Stamp Student Union - Slip,38.9876098,-76.9439438
knoxyale,Knox Road and Yale Avenue,38.9806089,-76.9368551
prinknox,Knox Rd and Princeton Ave,38.9802601,-76.9353307
hopkknox,Knox Rd and Hopkins Ave,38.9799235,-76.9338359
knoxrhod,Knox Rd and Rhode Island Ave,38.9796165,-76.9324227
rhodcoll,Rhode Island Ave & College Ave,38.9807245,-76.9318659
rhodnorw_s,Rhode Island Ave and Norwich Rd,38.9818979,-76.9313952
rossrhod,Rossborough Ln and Rhode Island Ave,38.9834008,-76.93131
5frat,Fraternity Row #5,38.9848022,-76.9342719
leoncomm_out,Leonardtown Community Center,38.98371,-76.9337999
11frat,Fraternity Row #11,38.983016,-76.9354865
yalecoll,Yale Ave and Lehigh Rd,38.9815053,-76.9364056
yaleknox_ib,Yale Avenue and Knox Road,38.9806721,-76.9368328
collpksh_ib,College Park Shopping Center (Inbound),38.9810063,-76.9389541
scam34,South Campus Commons 3 and 4,38.9811409,-76.9408182
sccomm5_6,South Campus Commons 5 and 6,38.9823229,-76.9448437
